,HomeTeam,Fulham,Birmingham,Blackburn,Bristol City,Derby,Huddersfield,Ipswich,Nottm Forest,Reading,Rotherham,QPR,Sheffield Wednesday,Newcastle,Cardiff,Norwich City,Wigan Athletic,Brighton & Hove Albion,Brentford,Barnsley,Burton Albion,Preston,Wolves,Leeds United,Aston Villa
Fulham,Fulham,0,99,183,104,112,164,71,109,33,143,2,144,249,128,103,176,43,4,153,111,190,113,169,101
Birmingham,Birmingham,99,0,90,79,35,81,131,44,82,69,97,66,173,89,134,81,136,96,76,26,96,15,91,2
Blackburn,Blackburn,183,90,0,158,71,30,191,78,172,51,180,46,93,158,175,15,223,180,44,72,9,80,38,88
Bristol City,Bristol City,104,79,158,0,114,157,167,121,71,147,103,144,248,24,187,145,118,100,154,105,161,82,168,80
Derby,Derby,112,35,71,114,0,53,125,13,105,36,110,34,143,123,117,66,154,110,44,10,79,37,60,34
Huddersfield,Huddersfield,164,81,30,157,53,0,165,56,158,23,162,20,92,161,147,37,206,162,14,58,39,75,12,79
Ipswich,Ipswich,71,131,191,167,125,165,0,114,102,142,70,145,232,190,40,190,98,73,151,129,200,145,165,132
Nottm Forest,Nottm Forest,109,44,78,121,13,56,114,0,105,35,106,36,142,133,105,76,151,106,44,22,86,49,61,43
Reading,Reading,33,82,172,71,105,158,102,105,0,140,33,139,247,95,128,163,55,30,149,101,178,95,165,84
Rotherham,Rotherham,143,69,51,147,36,23,142,35,140,0,141,6,108,155,125,54,186,141,10,43,60,67,26,67
QPR,QPR,2,97,180,103,110,162,70,106,33,141,0,142,247,127,101,174,45,3,151,109,188,111,167,99
Sheffield Wednesday,Sheffield Wednesday,144,66,46,144,34,20,145,36,139,6,142,0,108,151,129,49,186,142,10,41,55,63,26,64
Newcastle,Newcastle,249,173,93,248,143,92,232,142,247,108,247,108,0,250,202,108,292,247,99,149,94,166,83,171
Cardiff,Cardiff,128,89,158,24,123,161,190,133,95,155,127,151,250,0,207,144,141,124,160,114,160,88,173,90
Norwich City,Norwich City,103,134,175,187,117,147,40,105,128,125,101,129,202,207,0,177,136,104,132,124,184,146,144,135
Wigan Athletic,Wigan Athletic,176,81,15,145,66,37,190,76,163,54,174,49,108,144,177,0,215,173,49,66,16,69,48,78
Brighton & Hove Albion,Brighton & Hove Albion,43,136,223,118,154,206,98,151,55,186,45,186,292,141,136,215,0,44,195,151,230,149,211,138
Brentford,Brentford,4,96,180,100,110,162,73,106,30,141,3,142,247,124,104,173,44,0,151,108,187,110,167,98
Barnsley,Barnsley,153,76,44,154,44,14,151,44,149,10,151,10,99,160,132,49,195,151,0,51,52,72,16,74
Burton Albion,Burton Albion,111,26,72,105,10,58,129,22,101,43,109,41,149,114,124,66,151,108,51,0,79,28,66,24
Preston,Preston,190,96,9,161,79,39,200,86,178,60,188,55,94,160,184,16,230,187,52,79,0,85,46,94
Wolves,Wolves,113,15,80,82,37,75,145,49,95,67,111,63,166,88,146,69,149,110,72,28,85,0,86,13
Leeds United,Leeds United,169,91,38,168,60,12,165,61,165,26,167,26,83,173,144,48,211,167,16,66,46,86,0,89
Aston Villa,Aston Villa,101,2,88,80,34,79,132,43,84,67,99,64,171,90,135,78,138,98,74,24,94,13,89,0
