Team,Match day,Date,Home/Away,Home League Position,Opponents,League Position
Blackburn,1,"Sat Aug 6, 2016",H,0,Norwich City,0
Blackburn,2,"Sat Aug 13, 2016",A,-23,Wigan Athletic,23
Blackburn,3,"Wed Aug 17, 2016",A,-24,Cardiff,24
Blackburn,4,"Sat Aug 20, 2016",H,-24,Burton Albion,24
Blackburn,5,"Sat Aug 27, 2016",H,-24,Fulham,24
Blackburn,6,"Sat Sep 10, 2016",A,-24,QPR,24
Blackburn,7,"Tue Sep 13, 2016",A,-24,Leeds United,24
Blackburn,8,"Sat Sep 17, 2016",H,-24,Rotherham,24
Blackburn,9,"Sat Sep 24, 2016",A,-23,Derby,23
Blackburn,10,"Tue Sep 27, 2016",H,-20,Sheffield Wednesday,20
Blackburn,11,"Sat Oct 1, 2016",A,-22,Birmingham,22
Blackburn,12,"Sat Oct 15, 2016",H,-22,Ipswich,22
Blackburn,13,"Tue Oct 18, 2016",H,-23,Nottm Forest,23
Blackburn,14,"Sat Oct 22, 2016",A,-21,Bristol City,21
Blackburn,15,"Sat Oct 29, 2016",H,-22,Wolves,22
Blackburn,16,"Sat Nov 5, 2016",A,-23,Aston Villa,23
Blackburn,17,"Sat Nov 19, 2016",H,-23,Fulham,23
Blackburn,18,"Sat Nov 26, 2016",A,-22,Newcastle,22
Blackburn,19,"Sat Dec 3, 2016",H,-20,Huddersfield,20
Blackburn,20,"Sat Dec 10, 2016",A,-21,Preston,21
Blackburn,21,"Tue Dec 13, 2016",H,-21,Brighton & Hove Albion,21
Blackburn,22,"Sat Dec 17, 2016",H,-22,Reading,22
Blackburn,23,"Mon Dec 26, 2016",A,-22,Barnsley,22
Blackburn,24,"Sat Dec 31, 2016",A,-22,Huddersfield,22
Blackburn,25,"Mon Jan 2, 2017",H,-22,Newcastle,22
Blackburn,26,"Sat Jan 14, 2017",A,-22,Ipswich,22
Blackburn,27,"Sat Jan 21, 2017",H,-22,Birmingham,22
Blackburn,28,"Tue Mar 14, 2017",A,-23,Fulham,23
Blackburn,29,"Wed Feb 1, 2017",H,-22,Leeds United,22
Blackburn,30,"Sat Feb 4, 2017",H,-22,QPR,22
Blackburn,31,"Sat Feb 11, 2017",A,-21,Rotherham,21
Blackburn,32,"Tue Feb 14, 2017",A,-21,Sheffield Wednesday,21
Blackburn,33,"Tue Feb 28, 2017",H,-22,Derby,22
Blackburn,34,"Fri Feb 24, 2017",A,-21,Burton Albion,21
Blackburn,35,"Sat Mar 4, 2017",H,-21,Wigan Athletic,21
Blackburn,36,"Tue Mar 7, 2017",H,-20,Cardiff,20
Blackburn,37,"Sat Mar 11, 2017",A,-20,Norwich City,20
Blackburn,38,"Sat Mar 18, 2017",H,-21,Preston,21
Blackburn,39,"Sat Apr 1, 2017",A,-22,Brighton & Hove Albion,22
Blackburn,40,"Tue Apr 4, 2017",A,-22,Reading,22
Blackburn,41,"Sat Apr 8, 2017",H,-22,Barnsley,22
Blackburn,42,"Fri Apr 14, 2017",A,-22,Nottm Forest,22
Blackburn,43,"Mon Apr 17, 2017",H,-22,Bristol City,22
Blackburn,44,"Sat Apr 22, 2017",A,-22,Wolves,22
Blackburn,45,"Sat Apr 29, 2017",H,-22,Aston Villa,22
Blackburn,46,"Sun May 7, 2017",A,-22,Brentford,22
Wigan Athletic,1,"Sat Aug 6, 2016",A,0,Bristol City,0
Wigan Athletic,2,"Sat Aug 13, 2016",H,-17,Blackburn,17
Wigan Athletic,3,"Tue Aug 16, 2016",H,-10,Birmingham,10
Wigan Athletic,4,"Sat Aug 20, 2016",A,-11,Nottm Forest,11
Wigan Athletic,5,"Sat Aug 27, 2016",H,-17,QPR,17
Wigan Athletic,6,"Sat Sep 10, 2016",A,-20,Sheffield Wednesday,20
Wigan Athletic,7,"Tue Sep 13, 2016",A,-21,Norwich City,21
Wigan Athletic,8,"Sat Sep 17, 2016",H,-23,Fulham,23
Wigan Athletic,9,"Fri Sep 23, 2016",A,-22,Preston,22
Wigan Athletic,10,"Tue Sep 27, 2016",H,-24,Wolves,24
Wigan Athletic,11,"Sat Oct 1, 2016",A,-21,Brentford,21
Wigan Athletic,12,"Sat Oct 15, 2016",H,-21,Burton Albion,21
Wigan Athletic,13,"Tue Oct 18, 2016",A,-22,Leeds United,22
Wigan Athletic,14,"Sat Oct 22, 2016",H,-23,Brighton & Hove Albion,23
Wigan Athletic,15,"Sat Oct 29, 2016",A,-23,Cardiff,23
Wigan Athletic,16,"Sat Nov 5, 2016",H,-22,Reading,22
Wigan Athletic,17,"Sat Nov 19, 2016",A,-22,Barnsley,22
Wigan Athletic,18,"Mon Nov 28, 2016",A,-23,Huddersfield,23
Wigan Athletic,19,"Sat Dec 3, 2016",H,-22,Derby,22
Wigan Athletic,20,"Sat Dec 10, 2016",A,-23,Aston Villa,23
Wigan Athletic,21,"Wed Dec 14, 2016",H,-23,Newcastle,23
Wigan Athletic,22,"Sat Dec 17, 2016",H,-23,Ipswich,23
Wigan Athletic,23,"Mon Dec 26, 2016",A,-23,Rotherham,23
Wigan Athletic,24,"Sat Dec 31, 2016",A,-23,Derby,23
