"","Date","TemperatureHighC","TemperatureAvgC","TemperatureLowC","team"
"1",2016-08-01,21,16.5,12,"Barnsley"
"2",2016-08-02,20.3,16.8,13.4,"Barnsley"
"3",2016-08-03,21.6,18.9,16.2,"Barnsley"
"4",2016-08-04,21.3,17.8,14.3,"Barnsley"
"5",2016-08-05,23.8,18.6,13.4,"Barnsley"
"6",2016-08-06,25.9,19.6,13.3,"Barnsley"
"7",2016-08-07,22.8,19,15.3,"Barnsley"
"8",2016-08-08,19.8,16,12.3,"Barnsley"
"9",2016-08-09,19.1,14.1,9.1,"Barnsley"
"10",2016-08-10,20.7,15.9,11,"Barnsley"
"11",2016-08-11,19.1,15.9,12.7,"Barnsley"
"12",2016-08-12,24,19.9,15.8,"Barnsley"
"13",2016-08-13,20.5,17.8,15,"Barnsley"
"14",2016-08-14,21.5,16.6,11.6,"Barnsley"
"15",2016-08-15,26.1,18.3,10.5,"Barnsley"
"16",2016-08-16,24.1,17.3,10.6,"Barnsley"
"17",2016-08-17,24.7,17.7,10.7,"Barnsley"
"18",2016-08-18,25,18.8,12.6,"Barnsley"
"19",2016-08-19,18.8,16.1,13.4,"Barnsley"
"20",2016-08-20,21.5,17.2,13,"Barnsley"
"21",2016-08-21,21.5,18.2,14.9,"Barnsley"
"22",2016-08-22,24.6,20.7,16.7,"Barnsley"
"23",2016-08-23,29.4,23.4,17.4,"Barnsley"
"24",2016-08-24,26.2,21.1,15.9,"Barnsley"
"25",2016-08-25,18.5,16.9,15.3,"Barnsley"
"26",2016-08-26,22.7,17.6,12.5,"Barnsley"
"27",2016-08-27,19.3,15,10.7,"Barnsley"
"28",2016-08-28,20.6,17.2,13.8,"Barnsley"
"29",2016-08-29,21.8,17.2,12.6,"Barnsley"
"30",2016-08-30,25,18.8,12.5,"Barnsley"
"31",2016-08-31,22,17.6,13.1,"Barnsley"
"32",2016-09-01,21.5,16.9,12.3,"Barnsley"
"33",2016-09-02,21.3,17.6,13.8,"Barnsley"
"34",2016-09-03,18.1,15.6,13.1,"Barnsley"
"35",2016-09-04,20.5,16.8,13,"Barnsley"
"36",2016-09-05,22.4,17.8,13.1,"Barnsley"
"37",2016-09-06,25.1,21.5,17.9,"Barnsley"
"38",2016-09-07,25.9,22.3,18.6,"Barnsley"
"39",2016-09-08,21.6,17.9,14.3,"Barnsley"
"40",2016-09-09,22.7,18.3,13.9,"Barnsley"
"41",2016-09-10,18.6,15.1,11.5,"Barnsley"
"42",2016-09-11,20.8,15.1,9.3,"Barnsley"
"43",2016-09-12,24.7,18.1,11.5,"Barnsley"
"44",2016-09-13,29.5,22.4,15.3,"Barnsley"
"45",2016-09-14,17,16.6,16.1,"Barnsley"
"46",2016-09-18,-573.3,-573.3,-573.3,"Barnsley"
"47",2016-09-19,18.6,15.1,11.5,"Barnsley"
"48",2016-09-20,18.6,14.9,11.2,"Barnsley"
"49",2016-09-21,20.8,15.7,10.5,"Barnsley"
"50",2016-09-22,19.5,14.4,9.2,"Barnsley"
"51",2016-09-23,19.2,13.4,8.5,"Barnsley"
"52",2016-09-24,20.3,15.8,10.3,"Barnsley"
"53",2016-09-25,18.7,14.5,10.2,"Barnsley"
"54",2016-09-26,13.9,12,9.6,"Barnsley"
"55",2016-09-27,19.8,15,11.6,"Barnsley"
"56",2016-09-28,23.4,18.4,13.9,"Barnsley"
"57",2016-09-29,18.6,14.8,10.5,"Barnsley"
"58",2016-09-30,17.2,11.8,7.4,"Barnsley"
"59",2016-10-01,13,9.9,6.3,"Barnsley"
"60",2016-10-02,17.7,10.6,6.9,"Barnsley"
"61",2016-10-03,17.9,10.3,4.6,"Barnsley"
"62",2016-10-04,19,13.6,10.4,"Barnsley"
"63",2016-10-05,15.6,12.7,8.8,"Barnsley"
"64",2016-10-06,15.7,11.5,9.1,"Barnsley"
"65",2016-10-07,14.4,12.1,10.6,"Barnsley"
"66",2016-10-08,14.7,11.1,8.4,"Barnsley"
"67",2016-10-09,16.3,9.4,7.3,"Barnsley"
"68",2016-10-10,12.5,8.3,6.1,"Barnsley"
"69",2016-10-11,13.5,9.9,6.6,"Barnsley"
"70",2016-10-12,13.3,10.7,9.3,"Barnsley"
"71",2016-10-13,10.7,9.2,8,"Barnsley"
"72",2016-10-14,13.3,9.7,6.9,"Barnsley"
"73",2016-10-15,14,10.7,8.3,"Barnsley"
"74",2016-10-16,15.4,10.9,8.3,"Barnsley"
"75",2016-10-17,15.9,12.1,9.9,"Barnsley"
"76",2016-10-18,11.5,9.9,7.8,"Barnsley"
"77",2016-10-19,14.7,10.7,8.8,"Barnsley"
"78",2016-10-20,14.1,10.6,8,"Barnsley"
"79",2016-10-21,12.6,9.3,6.8,"Barnsley"
"80",2016-10-22,12.4,8.6,6.3,"Barnsley"
"81",2016-10-23,10.6,8.3,6.3,"Barnsley"
"82",2016-10-24,11.3,8.2,5,"Barnsley"
"83",2016-10-25,12.6,9.1,5.7,"Barnsley"
"84",2016-10-26,15.8,12.6,9.9,"Barnsley"
"85",2016-10-27,15,13.2,10.1,"Barnsley"
"86",2016-10-28,14.6,13.6,12.6,"Barnsley"
"87",2016-10-29,15.7,13.7,12.6,"Barnsley"
"88",2016-10-30,14.4,11.9,10.7,"Barnsley"
"89",2016-10-31,17.1,12.4,9.7,"Barnsley"
"90",2016-11-01,11,8.4,4.1,"Barnsley"
"91",2016-11-02,9.7,5.9,3.8,"Barnsley"
"92",2016-11-03,8.9,6.7,3.7,"Barnsley"
"93",2016-11-04,9.5,7.4,5.2,"Barnsley"
"94",2016-11-05,9.2,5.8,2.9,"Barnsley"
"95",2016-11-06,6.7,4.9,3.9,"Barnsley"
"96",2016-11-07,8.8,4.3,1.8,"Barnsley"
"97",2016-11-08,6.2,3.4,1.5,"Barnsley"
"98",2016-11-09,3.3,2.1,0.6,"Barnsley"
"99",2016-11-10,6.7,5.1,2.2,"Barnsley"
"100",2016-11-11,11,6.2,3.9,"Barnsley"
"101",2016-11-12,11.5,8.4,6,"Barnsley"
"102",2016-11-13,11.4,8.1,5.2,"Barnsley"
"103",2016-11-14,14.9,12.6,8.9,"Barnsley"
